id,first_name,second_name,now_cost,name,short_name,position
331,Andrew,Omobamidele,39,Norwich,NOR,DEF
456,Ben,Gibson,44,Norwich,NOR,DEF
457,Dimitris,Giannoulis,44,Norwich,NOR,DEF
515,Bali,Mumba,39,Norwich,NOR,DEF
580,Ozan,Kabak,43,Norwich,NOR,DEF
643,Jonathan,Tomkinson,40,Norwich,NOR,DEF
377,Danny,Rose,42,Watford,WAT,DEF
379,Craig,Cathcart,43,Watford,WAT,DEF
382,Francisco,Femenía Far,43,Watford,WAT,DEF
384,Christian,Kabasele,43,Watford,WAT,DEF
387,William,Troost-Ekong,43,Watford,WAT,DEF
390,Adam,Masina,43,Watford,WAT,DEF
396,Francisco,Sierralta,43,Watford,WAT,DEF
398,Marc,Navarro,40,Watford,WAT,DEF
400,Jeremy,Ngakia,43,Watford,WAT,DEF
401,Ben,Wilmot,45,Watford,WAT,DEF
454,Matthew,Pollock,40,Watford,WAT,DEF
618,Nicolas,Nkoulou,44,Watford,WAT,DEF
633,James,Morris,40,Watford,WAT,DEF
676,Hassane,Kamara,45,Watford,WAT,DEF
677,Samir,Caetano de Souza Santos,45,Watford,WAT,DEF
98,James,Tarkowski,49,Burnley,BUR,DEF
99,Phil,Bardsley,39,Burnley,BUR,DEF
100,Erik,Pieters,42,Burnley,BUR,DEF
103,Kevin,Long,40,Burnley,BUR,DEF
106,Ben,Mee,48,Burnley,BUR,DEF
110,Matthew,Lowton,44,Burnley,BUR,DEF
113,Charlie,Taylor,44,Burnley,BUR,DEF
451,Nathan,Collins,43,Burnley,BUR,DEF
534,Bobby,Thomas,39,Burnley,BUR,DEF
565,Owen,Dodgson,39,Burnley,BUR,DEF
585,Connor,Roberts,45,Burnley,BUR,DEF
76,Pontus,Jansson,45,Brentford,BRE,DEF
83,Rico,Henry,45,Brentford,BRE,DEF
87,Charlie,Goode,39,Brentford,BRE,DEF
89,Mads,Roerslev Rasmussen,42,Brentford,BRE,DEF
90,Mads,Bech Sørensen,43,Brentford,BRE,DEF
91,Ethan,Pinnock,45,Brentford,BRE,DEF
483,Kristoffer,Ajer,44,Brentford,BRE,DEF
498,Dominic,Thompson,44,Brentford,BRE,DEF
569,Finley,Stevens,39,Brentford,BRE,DEF
594,Mathias,Jorgensen,45,Brentford,BRE,DEF
271,Nemanja,Matic,43,Man Utd,MUN,MID
272,Paul,Pogba,74,Man Utd,MUN,MID
274,Frederico,Rodrigues de Paula Santos,49,Man Utd,MUN,MID
276,Jesse,Lingard,67,Man Utd,MUN,MID
277,Bruno Miguel,Borges Fernandes,116,Man Utd,MUN,MID
281,Marcus,Rashford,94,Man Utd,MUN,MID
285,Scott,McTominay,54,Man Utd,MUN,MID
289,Mason,Greenwood,71,Man Utd,MUN,MID
459,Juan,Mata,47,Man Utd,MUN,MID
485,Jadon,Sancho,89,Man Utd,MUN,MID
511,Andreas,Pereira,50,Man Utd,MUN,MID
512,Anthony,Elanga,48,Man Utd,MUN,MID
636,Amad,Diallo,50,Man Utd,MUN,MID
